City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
131,Trelew,AR,2022-05-17 20:52:56,-43.249,-65.3051,53.17,43,8,14.76
132,Buchanan,LR,2022-05-17 20:54:07,5.8808,-10.0467,80.15,85,91,9.1
133,Alofi,NU,2022-05-17 20:52:50,-19.0595,-169.9187,76.89,69,40,14.97
134,Margate,GB,2022-05-17 20:54:08,51.3813,1.3862,63.1,81,100,1.01
135,Ribeira Grande,PT,2022-05-17 20:54:08,38.5167,-28.7,59.4,63,40,17.27
136,Belyy Yar,RU,2022-05-17 20:54:09,53.6039,91.3903,53.49,66,0,4.47
137,Ulaangom,MN,2022-05-17 20:54:10,49.9811,92.0667,58.19,49,83,3.53
138,Hithadhoo,MV,2022-05-17 20:54:10,-0.6,73.0833,84.22,71,100,19.48
139,Ndende,GA,2022-05-17 20:54:12,-2.4008,11.3581,74.39,96,100,2.57
140,Mao,ES,2022-05-17 20:54:12,39.8885,4.2658,66.76,94,75,3.44
141,Hasaki,JP,2022-05-17 20:54:13,35.7333,140.8333,54.28,79,93,4.18
142,Kaitangata,NZ,2022-05-17 20:54:14,-46.2817,169.8464,46.27,85,39,5.14
143,Menongue,AO,2022-05-17 20:54:15,-14.6585,17.691,56.52,63,19,2.8
144,Savannah Bight,HN,2022-05-17 20:54:15,16.45,-85.85,81.99,70,22,8.03
145,Gulu,UG,2022-05-17 20:54:16,2.7746,32.299,69.04,74,69,5.48
146,Ugoofaaru,MV,2022-05-17 20:54:17,5.6667,73.0,82.99,76,100,23.6
147,Sucua,EC,2022-05-17 20:54:17,-2.4667,-78.1667,68.74,100,100,2.3
148,Vasteras,SE,2022-05-17 20:54:07,59.6162,16.5528,47.86,57,14,2.3
149,Aranos,NA,2022-05-17 20:54:18,-24.1333,19.1167,61.88,41,44,10.89
150,Suntar,RU,2022-05-17 20:54:19,62.1444,117.6319,40.1,89,100,5.39
151,Hervey Bay,AU,2022-05-17 20:54:19,-25.2986,152.8535,70.02,96,70,7.0
152,Pringsewu,ID,2022-05-17 20:54:20,-5.3582,104.9744,74.71,95,81,3.31
153,Rocha,UY,2022-05-17 20:54:21,-34.4833,-54.3333,55.78,89,100,29.01
154,Iqaluit,CA,2022-05-17 20:54:21,63.7506,-68.5145,26.33,86,100,11.5
155,Atambua,ID,2022-05-17 20:54:22,-9.1061,124.8925,70.54,87,17,5.14
156,Chuy,UY,2022-05-17 20:54:22,-33.6971,-53.4616,57.9,88,100,26.71
157,Ahipara,NZ,2022-05-17 20:54:23,-35.1667,173.1667,66.42,96,100,7.72
158,Kodiak,US,2022-05-17 20:54:23,57.79,-152.4072,45.37,71,48,5.93
159,San Quintin,MX,2022-05-17 20:54:24,30.4833,-115.95,64.72,65,0,17.2
160,Samarai,PG,2022-05-17 20:54:26,-10.6167,150.6667,80.37,75,3,2.01
