City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
315,Meulaboh,ID,79.5,overcast clouds,4.1363,96.1285,Kost Pria
321,Alugan,PH,79.88,overcast clouds,12.2188,125.4808,JM Lodge
323,Savannah Bight,HN,82.44,clear sky,16.45,-85.85,Villa on Dunbar Rock
324,Southbridge,US,76.12,overcast clouds,42.0751,-72.0334,Southbridge Hotel & Conference Center
325,Matara,LK,78.46,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
328,Neiafu,TO,75.88,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
329,Limbang,MY,77.11,moderate rain,4.75,115.0,Purnama Hotel
330,Maceio,BR,81.84,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
333,Goya,AR,75.6,few clouds,-29.14,-59.2626,Apart Costanera Goya
334,Sao Filipe,CV,78.3,overcast clouds,14.8961,-24.4956,Hotel Xaguate
336,Lamu,KE,79.02,overcast clouds,-2.2717,40.902,Lamu House
337,Denpasar,ID,80.26,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
338,Inirida,CO,80.82,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
339,Sayyan,YE,70.88,overcast clouds,15.1718,44.3244,متنزه و بحيرة سيان
340,Floro,NO,75.27,broken clouds,61.5996,5.0328,Kinn Hotell Florø
342,Tura,IN,76.21,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
343,Malpe,IN,79.9,overcast clouds,13.35,74.7167,Hotel Sri Krishna Residency
352,Dubno,UA,79.63,overcast clouds,50.4169,25.7343,Edem
354,Villacarrillo,ES,85.78,clear sky,38.1156,-3.0848,Hotel Sierra de Las Villas
356,Greeneville,US,76.42,clear sky,36.1632,-82.831,General Morgan Inn and Conference Center
358,Kaduqli,SD,74.84,light rain,11.0167,29.7167,Nussyba
359,Balikpapan,ID,81.59,few clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
360,Praia Da Vitoria,PT,79.75,light rain,38.7333,-27.0667,Hotel Branco I
361,Kathu,TH,87.69,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
363,Brownwood,US,78.12,overcast clouds,31.7093,-98.9912,La Quinta Inn & Suites by Wyndham Brownwood
368,Am Timan,TD,77.2,light rain,11.0297,20.2827,Palais du chef Canton Salamt
370,Kirakira,SB,77.79,overcast clouds,-10.4544,161.9205,SanBiz Lodge
371,Riberalta,BO,82.6,smoke,-10.9833,-66.1,Hotel Colonial
372,Baglung,NP,71.91,broken clouds,28.2719,83.5898,Hotel Peace Palace
374,Los Algarrobos,PA,79.21,scattered clouds,8.5,-82.4333,Waterfall Hostel
379,Scarborough,GB,83.77,overcast clouds,54.2797,-0.4044,The Grand Hotel Scarborough
382,Lubango,AO,80.06,clear sky,-14.9172,13.4925,Hotel Serra da Chela
383,Manacapuru,BR,86.65,broken clouds,-3.2997,-60.6206,Novo Hotel
385,Langsa,ID,75.85,overcast clouds,4.4683,97.9683,OYO 3328 Hotel Mori
387,Sheopur,IN,80.65,scattered clouds,25.6667,76.7,Shri Ram Dharmshala
388,Mastung,PK,76.82,clear sky,29.7994,66.845,Al Hasnan Cold Drink Santer
391,Bom Jesus,BR,89.82,few clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
392,Souillac,MU,70.75,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
393,Vila,PT,72.7,broken clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
394,Taungdwingyi,MM,78.98,heavy intensity rain,20.0167,95.55,NayNaing MobileService
397,Kaspiyskiy,RU,85.6,clear sky,45.3929,47.3707,"Gostinitsa ""Gostevoy Dvor"""
399,Toropets,RU,82.42,scattered clouds,56.4978,31.6353,Toropa
406,Hobyo,SO,78.82,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
408,Mitsamiouli,KM,76.32,clear sky,-11.3847,43.2844,Foyer ADM
409,Betlitsa,RU,81.18,broken clouds,54.0095,33.9588,Otel'
411,Ca Mau,VN,80.76,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
412,Tulum,MX,82.83,few clouds,20.2167,-87.4667,Kin Ha Tulum
414,Ukwa,IN,70.41,heavy intensity rain,21.9667,80.4667,Chouksey Hotel & Rajat Transport
415,Ukiah,US,71.37,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
