,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
104,Ribeira Grande,PT,38.5167,-28.7,81.0,69,40,12.66,scattered clouds
105,Ilo,PE,-17.6394,-71.3375,61.66,72,100,8.05,overcast clouds
106,Leningradskiy,RU,69.3833,178.4167,32.97,91,100,4.92,overcast clouds
107,Broken Hill,AU,-31.95,141.4333,49.6,72,67,13.29,broken clouds
108,Castro,BR,-24.7911,-50.0119,71.1,47,0,13.2,clear sky
109,Tecoanapa,MX,16.5167,-98.75,79.23,80,62,3.53,broken clouds
110,Bay Roberts,CA,47.5999,-53.2648,74.66,89,100,4.0,overcast clouds
111,Bandarbeyla,SO,9.4942,50.8122,79.93,73,85,32.17,overcast clouds
112,Kahului,US,20.8947,-156.47,76.84,79,60,5.99,broken clouds
113,Lagoa,PT,39.05,-27.9833,73.45,81,39,15.52,light rain
114,Touros,BR,-5.1989,-35.4608,83.17,53,6,19.48,clear sky
115,Mackay,AU,-21.15,149.2,49.68,63,30,6.44,scattered clouds
116,Myitkyina,MM,25.3833,97.4,77.88,94,82,0.6,broken clouds
117,San Cristobal,VE,7.7669,-72.225,75.79,64,33,5.91,scattered clouds
118,Nahrin,AF,36.0649,69.1334,80.98,28,99,5.08,overcast clouds
119,Narsaq,GL,60.9167,-46.05,55.62,73,98,0.76,overcast clouds
120,Granada,ES,37.25,-3.25,84.15,14,0,13.2,clear sky
121,Sitka,US,57.0531,-135.33,55.45,88,100,2.3,overcast clouds
122,Kavaratti,IN,10.5669,72.642,81.19,79,100,11.59,overcast clouds
123,Spring Hill,US,28.4769,-82.5255,84.85,80,20,4.61,few clouds
124,Itarema,BR,-2.9248,-39.9167,88.21,38,3,14.88,clear sky
125,Maragogi,BR,-9.0122,-35.2225,78.96,67,56,14.58,broken clouds
126,Port Hawkesbury,CA,45.6169,-61.3485,71.91,79,75,11.01,broken clouds
127,Port Elizabeth,ZA,-33.918,25.5701,63.1,68,100,4.0,overcast clouds
128,Qaanaaq,GL,77.484,-69.3632,39.76,88,100,11.21,overcast clouds
129,Mahibadhoo,MV,3.7833,72.9667,81.3,76,61,4.81,broken clouds
130,Karratha,AU,-20.7377,116.8463,74.75,73,0,5.82,light rain
131,Wadi,IN,17.0667,76.9833,76.59,80,100,15.32,overcast clouds
132,Port-Gentil,GA,-0.7193,8.7815,80.56,65,40,12.66,scattered clouds
133,Bethel,US,41.3712,-73.414,76.87,66,0,4.61,clear sky
134,Estancia,BR,-11.2683,-37.4383,77.95,61,69,10.36,broken clouds
135,Talnakh,RU,69.4865,88.3972,61.57,53,100,3.67,overcast clouds
136,Villa Carlos Paz,AR,-31.4241,-64.4978,53.06,23,70,15.01,broken clouds
137,Quelimane,MZ,-17.8786,36.8883,86.95,40,0,6.87,clear sky
138,Acuitzio,MX,20.345,-101.9771,62.71,90,98,1.63,overcast clouds
139,Ucluelet,CA,48.9329,-125.5528,56.08,92,100,2.1,overcast clouds
140,Booue,GA,-0.0921,11.9385,97.03,24,75,3.6,broken clouds
141,Ornskoldsvik,SE,63.2909,18.7153,74.35,60,100,11.5,overcast clouds
